new_trial.started,new_trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,continue_from_intro.keys,continue_from_intro.rt,continue_from_intro.duration,frame0_2.started,frame0_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,ending.started,ending.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instruction,action,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7
0.001,1.863,space,1.843,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,1.867,12.732,space,10.836,,12.733,65.499,space,52.733,,65.5,66.063,n,0.537,,0,0,0,15,1,"observe object 1, observe object 2, delay, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if object of object 5 equal object of object 1 , then category of object 2 not equal cars , else object of object 7 not equal object of object 4 and object of object 3 not equal object of object 6 ?",false,./for_xx/trial300/frames/epoch0.png,./for_xx/trial300/frames/epoch1.png,./for_xx/trial300/frames/epoch2.png,./for_xx/trial300/frames/epoch3.png,./for_xx/trial300/frames/epoch4.png,./for_xx/trial300/frames/epoch5.png,./for_xx/trial300/frames/epoch6.png,./for_xx/trial300/frames/epoch7.png
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,66.064,87.108,space,21.033,,87.109,115.82,space,28.688,,115.82,116.085,y,0.259,,0,1,1,30,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, delay, observe object 6, if location of object 3 equal location of object 4 , then location of object 1 not equal bottom right and location of object 2 equal location of object 5 , else location of object 6 not equal top left ?",true,./for_xx/trial2/frames/epoch0.png,./for_xx/trial2/frames/epoch1.png,./for_xx/trial2/frames/epoch2.png,./for_xx/trial2/frames/epoch3.png,./for_xx/trial2/frames/epoch4.png,./for_xx/trial2/frames/epoch5.png,./for_xx/trial2/frames/epoch6.png,./for_xx/nullframe.png
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,116.086,192.046,space,75.944,,192.046,215.522,space,23.454,,215.522,215.891,n,0.358,,0,2,2,31,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if location of object 1 equal location of object 5 or location of object 3 equal bottom right , then location of object 7 not equal location of object 6 , else location of object 2 not equal location of object 4 ?",false,./for_xx/trial5/frames/epoch0.png,./for_xx/trial5/frames/epoch1.png,./for_xx/trial5/frames/epoch2.png,./for_xx/trial5/frames/epoch3.png,./for_xx/trial5/frames/epoch4.png,./for_xx/trial5/frames/epoch5.png,./for_xx/trial5/frames/epoch6.png,./for_xx/nullframe.png
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,215.892,249.4,space,33.481,,249.401,278.811,space,29.388,,278.811,279.606,y,0.79,,0,3,3,24,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 4 not equal object of object 1 , then object of object 7 not equal object of object 6 and object of object 3 not equal object of object 5 , else object of object 2 equal object of object 8 ?",true,./for_xx/trial209/frames/epoch0.png,./for_xx/trial209/frames/epoch1.png,./for_xx/trial209/frames/epoch2.png,./for_xx/trial209/frames/epoch3.png,./for_xx/trial209/frames/epoch4.png,./for_xx/trial209/frames/epoch5.png,./for_xx/trial209/frames/epoch6.png,./for_xx/trial209/frames/epoch7.png
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,279.607,280.58,space,0.957,,280.581,303.825,space,23.208,,303.826,304.413,n,0.573,,0,4,4,14,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if object of object 2 equal object of object 3 , then category of object 6 not equal lighting and object of object 1 not equal object of object 4 , else category of object 7 equal category of object 5 ?",false,./for_xx/trial307/frames/epoch0.png,./for_xx/trial307/frames/epoch1.png,./for_xx/trial307/frames/epoch2.png,./for_xx/trial307/frames/epoch3.png,./for_xx/trial307/frames/epoch4.png,./for_xx/trial307/frames/epoch5.png,./for_xx/trial307/frames/epoch6.png,./for_xx/trial307/frames/epoch7.png
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,304.413,304.954,space,0.517,,304.954,328.436,space,23.447,,328.437,328.887,n,0.446,,0,5,5,9,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if location of object 6 not equal location of object 5 , then location of object 3 equal top left or location of object 2 not equal location of object 1 , else location of object 4 not equal location of object 7 ?",false,./for_xx/trial8/frames/epoch0.png,./for_xx/trial8/frames/epoch1.png,./for_xx/trial8/frames/epoch2.png,./for_xx/trial8/frames/epoch3.png,./for_xx/trial8/frames/epoch4.png,./for_xx/trial8/frames/epoch5.png,./for_xx/trial8/frames/epoch6.png,./for_xx/nullframe.png
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,328.889,330.962,space,2.058,,330.963,355.102,space,24.108,,355.103,355.818,n,0.713,,0,6,6,44,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if category of object 3 equal category of object 4 , then category of object 1 not equal category of object 2 , else category of object 7 equal category of object 8 and category of object 6 equal category of object 5 ?",false,./for_xx/trial107/frames/epoch0.png,./for_xx/trial107/frames/epoch1.png,./for_xx/trial107/frames/epoch2.png,./for_xx/trial107/frames/epoch3.png,./for_xx/trial107/frames/epoch4.png,./for_xx/trial107/frames/epoch5.png,./for_xx/trial107/frames/epoch6.png,./for_xx/trial107/frames/epoch7.png
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,355.819,356.562,space,0.714,,356.563,377.166,space,20.582,,377.166,377.438,y,0.267,,0,7,7,23,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, if object of object 3 equal object of object 4 , then location of object 1 equal bottom left or location of object 2 equal location of object 5 , else category of object 6 not equal couches ?",true,./for_xx/trial306/frames/epoch0.png,./for_xx/trial306/frames/epoch1.png,./for_xx/trial306/frames/epoch2.png,./for_xx/trial306/frames/epoch3.png,./for_xx/trial306/frames/epoch4.png,./for_xx/trial306/frames/epoch5.png,./for_xx/trial306/frames/epoch6.png,./for_xx/trial306/frames/epoch7.png
,,,,,204822,001,2024-02-14_15h09.37.552,iwisdm_med_pcy,2023.2.3,MacIntel,62.5,377.439,377.78,space,0.321,,377.78,398.713,space,20.91,,398.713,398.978,y,0.259,,0,8,8,38,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if location of object 4 not equal location of object 3 or object of object 2 equal object of object 1 , then object of object 5 equal object of object 6 , else category of object 7 equal category of object 8 ?",true,./for_xx/trial310/frames/epoch0.png,./for_xx/trial310/frames/epoch1.png,./for_xx/trial310/frames/epoch2.png,./for_xx/trial310/frames/epoch3.png,./for_xx/trial310/frames/epoch4.png,./for_xx/trial310/frames/epoch5.png,./for_xx/trial310/frames/epoch6.png,./for_xx/trial310/frames/epoch7.png
