new_trial.started,new_trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,continue_from_intro.keys,continue_from_intro.rt,continue_from_intro.duration,frame0_2.started,frame0_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,ending.started,ending.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instruction,action,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7
0.000400001,1.713700001,space,1.7007,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,1.7238,4.5135,space,2.766900001,,4.5138,58.3414,space,53.7979,,58.3415,58.9091,n,0.5422,,0,0,0,36,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, delay, observe object 6, observe object 7, if category of object 2 not equal category of object 7 , then object of object 1 equal object of object 3 , else object of object 4 equal object of object 5 and category of object 6 not equal benches ?",false,./for_xx/trial316/frames/epoch0.png,./for_xx/trial316/frames/epoch1.png,./for_xx/trial316/frames/epoch2.png,./for_xx/trial316/frames/epoch3.png,./for_xx/trial316/frames/epoch4.png,./for_xx/trial316/frames/epoch5.png,./for_xx/trial316/frames/epoch6.png,./for_xx/trial316/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,58.9203,59.8778,space,0.9447,,59.878,91.3552,space,31.4417,,91.3553,92.6514,n,1.2674,,0,1,1,2,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, if location of object 3 not equal top right or location of object 2 equal top left , then location of object 1 equal top left , else location of object 4 not equal location of object 5 ?",false,./for_xx/trial0/frames/epoch0.png,./for_xx/trial0/frames/epoch1.png,./for_xx/trial0/frames/epoch2.png,./for_xx/trial0/frames/epoch3.png,./for_xx/trial0/frames/epoch4.png,./for_xx/trial0/frames/epoch5.png,./for_xx/nullframe.png,./for_xx/nullframe.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,92.6617,100.8936,space,8.1927,,100.8937,127.5697,space,26.6217,,127.5699,128.0354,y,0.4549,,0,2,2,1,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 5 equal object of object 6 , then object of object 7 equal object of object 4 or object of object 8 not equal object of object 3 , else object of object 1 not equal object of object 2 ?",true,./for_xx/trial204/frames/epoch0.png,./for_xx/trial204/frames/epoch1.png,./for_xx/trial204/frames/epoch2.png,./for_xx/trial204/frames/epoch3.png,./for_xx/trial204/frames/epoch4.png,./for_xx/trial204/frames/epoch5.png,./for_xx/trial204/frames/epoch6.png,./for_xx/trial204/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,128.0457,128.5005,space,0.4185,,128.5005,164.2152,space,35.6682,,164.2155,164.7143,y,0.4794,,0,3,3,5,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if location of object 7 equal location of object 2 or location of object 8 equal location of object 4 , then location of object 3 equal location of object 1 , else location of object 6 equal location of object 5 ?",true,./for_xx/trial6/frames/epoch0.png,./for_xx/trial6/frames/epoch1.png,./for_xx/trial6/frames/epoch2.png,./for_xx/trial6/frames/epoch3.png,./for_xx/trial6/frames/epoch4.png,./for_xx/trial6/frames/epoch5.png,./for_xx/trial6/frames/epoch6.png,./for_xx/trial6/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,164.7261,165.0809,space,0.3171,,165.081,198.1626,space,33.0534,,198.1626,198.9316,n,0.7372,,0,4,4,9,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if location of object 6 not equal location of object 5 , then location of object 3 equal top left or location of object 2 not equal location of object 1 , else location of object 4 not equal location of object 7 ?",false,./for_xx/trial8/frames/epoch0.png,./for_xx/trial8/frames/epoch1.png,./for_xx/trial8/frames/epoch2.png,./for_xx/trial8/frames/epoch3.png,./for_xx/trial8/frames/epoch4.png,./for_xx/trial8/frames/epoch5.png,./for_xx/trial8/frames/epoch6.png,./for_xx/nullframe.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,198.9417,199.4373,space,0.4572,,199.4374,228.5466,space,29.077,,228.5466,229.1782,n,0.613400001,,0,5,5,37,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, delay, observe object 6, observe object 7, if location of object 5 not equal location of object 3 , then location of object 1 not equal top left or object of object 4 not equal object of object 2 , else location of object 6 equal location of object 7 ?",false,./for_xx/trial317/frames/epoch0.png,./for_xx/trial317/frames/epoch1.png,./for_xx/trial317/frames/epoch2.png,./for_xx/trial317/frames/epoch3.png,./for_xx/trial317/frames/epoch4.png,./for_xx/trial317/frames/epoch5.png,./for_xx/trial317/frames/epoch6.png,./for_xx/trial317/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,229.1859,229.5796,space,0.362599999,,229.5797,243.889,space,14.2833,,243.8892,244.3897,n,0.4682,,0,6,6,41,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if category of object 3 not equal planes , then category of object 2 equal category of object 5 and category of object 7 not equal category of object 4 , else category of object 6 equal category of object 1 ?",false,./for_xx/trial109/frames/epoch0.png,./for_xx/trial109/frames/epoch1.png,./for_xx/trial109/frames/epoch2.png,./for_xx/trial109/frames/epoch3.png,./for_xx/trial109/frames/epoch4.png,./for_xx/trial109/frames/epoch5.png,./for_xx/trial109/frames/epoch6.png,./for_xx/trial109/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,244.4,244.7899,space,0.372599999,,244.79,283.8692,space,39.0594,,283.8693,284.307,y,0.4312,,0,7,7,45,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, if category of object 2 equal benches , then category of object 5 equal category of object 4 , else category of object 6 not equal category of object 1 or category of object 3 equal chairs ?",false,./for_xx/trial106/frames/epoch0.png,./for_xx/trial106/frames/epoch1.png,./for_xx/trial106/frames/epoch2.png,./for_xx/trial106/frames/epoch3.png,./for_xx/trial106/frames/epoch4.png,./for_xx/trial106/frames/epoch5.png,./for_xx/trial106/frames/epoch6.png,./for_xx/nullframe.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,284.3148,284.7068,space,0.3683,,284.7068,307.0122,space,22.2702,,307.0123,307.5462,y,0.5042,,0,8,8,17,1,"observe object 1, observe object 2, observe object 3, delay, observe object 4, observe object 5, observe object 6, observe object 7, if category of object 6 not equal category of object 7 or category of object 2 equal tables , then category of object 5 not equal category of object 4 , else category of object 1 not equal category of object 3 ?",true,./for_xx/trial104/frames/epoch0.png,./for_xx/trial104/frames/epoch1.png,./for_xx/trial104/frames/epoch2.png,./for_xx/trial104/frames/epoch3.png,./for_xx/trial104/frames/epoch4.png,./for_xx/trial104/frames/epoch5.png,./for_xx/trial104/frames/epoch6.png,./for_xx/trial104/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,307.5564,307.8796,space,0.294099999,,307.8796,330.6261,space,22.7148,,330.6261,331.0621,n,0.4038,,0,9,9,19,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, if category of object 3 not equal boats , then category of object 6 not equal category of object 5 , else category of object 4 equal category of object 1 and category of object 2 not equal tables ?",false,./for_xx/trial102/frames/epoch0.png,./for_xx/trial102/frames/epoch1.png,./for_xx/trial102/frames/epoch2.png,./for_xx/trial102/frames/epoch3.png,./for_xx/trial102/frames/epoch4.png,./for_xx/trial102/frames/epoch5.png,./for_xx/trial102/frames/epoch6.png,./for_xx/nullframe.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,331.0743,331.3287,space,0.2277,,331.3288,351.9395,space,20.5708,,351.9395,352.3057,n,0.3468,,0,10,10,15,1,"observe object 1, observe object 2, delay, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if object of object 5 equal object of object 1 , then category of object 2 not equal cars , else object of object 7 not equal object of object 4 and object of object 3 not equal object of object 6 ?",false,./for_xx/trial300/frames/epoch0.png,./for_xx/trial300/frames/epoch1.png,./for_xx/trial300/frames/epoch2.png,./for_xx/trial300/frames/epoch3.png,./for_xx/trial300/frames/epoch4.png,./for_xx/trial300/frames/epoch5.png,./for_xx/trial300/frames/epoch6.png,./for_xx/trial300/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,352.3146,352.705,space,0.3503,,352.7051,402.6634,space,49.9121,,402.6635,402.9942,n,0.2994,,0,11,11,6,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 8 equal object of object 2 or object of object 4 not equal object of object 1 , then object of object 3 equal object of object 6 , else object of object 5 not equal object of object 7 ?",false,./for_xx/trial202/frames/epoch0.png,./for_xx/trial202/frames/epoch1.png,./for_xx/trial202/frames/epoch2.png,./for_xx/trial202/frames/epoch3.png,./for_xx/trial202/frames/epoch4.png,./for_xx/trial202/frames/epoch5.png,./for_xx/trial202/frames/epoch6.png,./for_xx/trial202/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,403.0038,403.2609,space,0.237,,403.2609,421.3412,space,18.0626,,421.3413,421.807,y,0.4581,,0,12,12,23,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, if object of object 3 equal object of object 4 , then location of object 1 equal bottom left or location of object 2 equal location of object 5 , else category of object 6 not equal couches ?",true,./for_xx/trial306/frames/epoch0.png,./for_xx/trial306/frames/epoch1.png,./for_xx/trial306/frames/epoch2.png,./for_xx/trial306/frames/epoch3.png,./for_xx/trial306/frames/epoch4.png,./for_xx/trial306/frames/epoch5.png,./for_xx/trial306/frames/epoch6.png,./for_xx/trial306/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,421.8164,422.5411,space,0.7031,,422.5411,440.7098,space,18.1335,,440.7099,441.0421,y,0.3132,,0,13,13,38,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if location of object 4 not equal location of object 3 or object of object 2 equal object of object 1 , then object of object 5 equal object of object 6 , else category of object 7 equal category of object 8 ?",true,./for_xx/trial310/frames/epoch0.png,./for_xx/trial310/frames/epoch1.png,./for_xx/trial310/frames/epoch2.png,./for_xx/trial310/frames/epoch3.png,./for_xx/trial310/frames/epoch4.png,./for_xx/trial310/frames/epoch5.png,./for_xx/trial310/frames/epoch6.png,./for_xx/trial310/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,441.0516,441.3448,space,0.2788,,441.3448,474.8231,space,33.4569,,474.8232,475.2613,y,0.4182,,0,14,14,24,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 4 not equal object of object 1 , then object of object 7 not equal object of object 6 and object of object 3 not equal object of object 5 , else object of object 2 equal object of object 8 ?",true,./for_xx/trial209/frames/epoch0.png,./for_xx/trial209/frames/epoch1.png,./for_xx/trial209/frames/epoch2.png,./for_xx/trial209/frames/epoch3.png,./for_xx/trial209/frames/epoch4.png,./for_xx/trial209/frames/epoch5.png,./for_xx/trial209/frames/epoch6.png,./for_xx/trial209/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,475.2704,475.6609,space,0.3783,,475.6609,524.953,space,49.2772,,524.953,525.3547,y,0.3732,,0,15,15,44,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if category of object 3 equal category of object 4 , then category of object 1 not equal category of object 2 , else category of object 7 equal category of object 8 and category of object 6 equal category of object 5 ?",false,./for_xx/trial107/frames/epoch0.png,./for_xx/trial107/frames/epoch1.png,./for_xx/trial107/frames/epoch2.png,./for_xx/trial107/frames/epoch3.png,./for_xx/trial107/frames/epoch4.png,./for_xx/trial107/frames/epoch5.png,./for_xx/trial107/frames/epoch6.png,./for_xx/trial107/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,525.364,525.5876,space,0.1881,,525.5877,565.9061,space,40.289,,565.9062,566.3424,n,0.432,,0,16,16,33,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 2 equal object of object 8 , then object of object 5 equal object of object 6 and object of object 3 equal object of object 4 , else object of object 1 equal object of object 7 ?",false,./for_xx/trial208/frames/epoch0.png,./for_xx/trial208/frames/epoch1.png,./for_xx/trial208/frames/epoch2.png,./for_xx/trial208/frames/epoch3.png,./for_xx/trial208/frames/epoch4.png,./for_xx/trial208/frames/epoch5.png,./for_xx/trial208/frames/epoch6.png,./for_xx/trial208/frames/epoch7.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,566.3538,566.7718,space,0.402799999,,566.7719,605.2643,space,38.4769,,605.2645,605.5634,n,0.2744,,0,17,17,31,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if location of object 1 equal location of object 5 or location of object 3 equal bottom right , then location of object 7 not equal location of object 6 , else location of object 2 not equal location of object 4 ?",false,./for_xx/trial5/frames/epoch0.png,./for_xx/trial5/frames/epoch1.png,./for_xx/trial5/frames/epoch2.png,./for_xx/trial5/frames/epoch3.png,./for_xx/trial5/frames/epoch4.png,./for_xx/trial5/frames/epoch5.png,./for_xx/trial5/frames/epoch6.png,./for_xx/nullframe.png
,,,,,Motahareh,001,2024-02-15_11h18.07.726,iwisdm_med_pcy,2023.2.3,MacIntel,30.03003003,605.5731,605.9642,space,0.3522,,605.9643,682.1653,space,76.1789,,682.1655,683.1673,y,0.987700001,,0,18,18,20,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if location of object 5 equal location of object 6 and object of object 3 equal object of object 2 , then category of object 7 equal couches , else object of object 1 not equal object of object 4 ?",true,./for_xx/trial308/frames/epoch0.png,./for_xx/trial308/frames/epoch1.png,./for_xx/trial308/frames/epoch2.png,./for_xx/trial308/frames/epoch3.png,./for_xx/trial308/frames/epoch4.png,./for_xx/trial308/frames/epoch5.png,./for_xx/trial308/frames/epoch6.png,./for_xx/nullframe.png
