new_trial.started,new_trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,continue_from_intro.keys,continue_from_intro.rt,continue_from_intro.duration,frame0_2.started,frame0_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,ending.started,ending.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instruction,action,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7
0,1.274,space,1.245,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,1.282,2.738,space,1.425,,2.738,40.453,space,37.693,,40.453,41.703,y,1.235,,0,0,0,11,1,"observe object 1, observe object 2, observe object 3, delay, observe object 4, observe object 5, observe object 6, observe object 7, if object of object 7 not equal object of object 3 and location of object 6 not equal location of object 4 , then category of object 1 not equal category of object 2 , else category of object 5 equal benches ?",true,./for_xx/trial312/frames/epoch0.png,./for_xx/trial312/frames/epoch1.png,./for_xx/trial312/frames/epoch2.png,./for_xx/trial312/frames/epoch3.png,./for_xx/trial312/frames/epoch4.png,./for_xx/trial312/frames/epoch5.png,./for_xx/trial312/frames/epoch6.png,./for_xx/trial312/frames/epoch7.png
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,41.705,47.981,space,6.253,,47.982,71.337,space,23.326,,71.337,72.088,y,0.743,,0,1,1,7,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 3 equal object of object 2 and object of object 4 not equal object of object 6 , then object of object 7 not equal object of object 8 , else object of object 5 not equal object of object 1 ?",false,./for_xx/trial205/frames/epoch0.png,./for_xx/trial205/frames/epoch1.png,./for_xx/trial205/frames/epoch2.png,./for_xx/trial205/frames/epoch3.png,./for_xx/trial205/frames/epoch4.png,./for_xx/trial205/frames/epoch5.png,./for_xx/trial205/frames/epoch6.png,./for_xx/trial205/frames/epoch7.png
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,72.088,72.735,space,0.626,,72.735,113.083,space,40.323,,113.083,113.706,n,0.612,,0,2,2,40,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if location of object 1 not equal location of object 4 and location of object 8 not equal location of object 3 , then category of object 7 not equal category of object 6 , else object of object 2 not equal object of object 5 ?",false,./for_xx/trial303/frames/epoch0.png,./for_xx/trial303/frames/epoch1.png,./for_xx/trial303/frames/epoch2.png,./for_xx/trial303/frames/epoch3.png,./for_xx/trial303/frames/epoch4.png,./for_xx/trial303/frames/epoch5.png,./for_xx/trial303/frames/epoch6.png,./for_xx/trial303/frames/epoch7.png
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,113.709,114.788,space,1.05,,114.788,162.525,space,47.711,,162.525,163.144,y,0.614,,0,3,3,48,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if location of object 3 equal location of object 5 and object of object 2 not equal object of object 7 , then object of object 1 not equal object of object 4 , else object of object 8 equal object of object 6 ?",true,./for_xx/trial305/frames/epoch0.png,./for_xx/trial305/frames/epoch1.png,./for_xx/trial305/frames/epoch2.png,./for_xx/trial305/frames/epoch3.png,./for_xx/trial305/frames/epoch4.png,./for_xx/trial305/frames/epoch5.png,./for_xx/trial305/frames/epoch6.png,./for_xx/trial305/frames/epoch7.png
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,163.148,163.614,space,0.442,,163.614,258.529,space,94.889,,258.53,259.258,n,0.721,,0,4,4,37,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, delay, observe object 6, observe object 7, if location of object 5 not equal location of object 3 , then location of object 1 not equal top left or object of object 4 not equal object of object 2 , else location of object 6 equal location of object 7 ?",false,./for_xx/trial317/frames/epoch0.png,./for_xx/trial317/frames/epoch1.png,./for_xx/trial317/frames/epoch2.png,./for_xx/trial317/frames/epoch3.png,./for_xx/trial317/frames/epoch4.png,./for_xx/trial317/frames/epoch5.png,./for_xx/trial317/frames/epoch6.png,./for_xx/trial317/frames/epoch7.png
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,259.26,259.966,space,0.679,,259.966,338.02,space,78.028,,338.02,338.378,y,0.352,,0,5,5,24,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 4 not equal object of object 1 , then object of object 7 not equal object of object 6 and object of object 3 not equal object of object 5 , else object of object 2 equal object of object 8 ?",true,./for_xx/trial209/frames/epoch0.png,./for_xx/trial209/frames/epoch1.png,./for_xx/trial209/frames/epoch2.png,./for_xx/trial209/frames/epoch3.png,./for_xx/trial209/frames/epoch4.png,./for_xx/trial209/frames/epoch5.png,./for_xx/trial209/frames/epoch6.png,./for_xx/trial209/frames/epoch7.png
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,338.381,338.962,space,0.552,,338.962,403.644,space,64.656,,403.644,404.485,y,0.833,,0,6,6,44,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if category of object 3 equal category of object 4 , then category of object 1 not equal category of object 2 , else category of object 7 equal category of object 8 and category of object 6 equal category of object 5 ?",false,./for_xx/trial107/frames/epoch0.png,./for_xx/trial107/frames/epoch1.png,./for_xx/trial107/frames/epoch2.png,./for_xx/trial107/frames/epoch3.png,./for_xx/trial107/frames/epoch4.png,./for_xx/trial107/frames/epoch5.png,./for_xx/trial107/frames/epoch6.png,./for_xx/trial107/frames/epoch7.png
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,404.487,405.012,space,0.502,,405.012,442.338,space,37.3,,442.338,443.116,y,0.772,,0,7,7,46,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if category of object 3 not equal lighting or category of object 7 not equal category of object 6 , then category of object 1 equal category of object 2 , else category of object 4 equal category of object 5 ?",true,./for_xx/trial101/frames/epoch0.png,./for_xx/trial101/frames/epoch1.png,./for_xx/trial101/frames/epoch2.png,./for_xx/trial101/frames/epoch3.png,./for_xx/trial101/frames/epoch4.png,./for_xx/trial101/frames/epoch5.png,./for_xx/trial101/frames/epoch6.png,./for_xx/trial101/frames/epoch7.png
,,,,,lucas,001,2024-02-14_13h10.55.078,iwisdm_med_pcy,2023.2.3,MacIntel,140.0560224,443.119,443.567,space,0.423,,443.567,460.167,space,16.575,,460.167,460.575,n,0.402,,0,8,8,49,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, delay, observe object 5, if location of object 2 equal bottom left , then location of object 5 not equal top left or category of object 3 not equal benches , else location of object 1 not equal location of object 4 ?",false,./for_xx/trial302/frames/epoch0.png,./for_xx/trial302/frames/epoch1.png,./for_xx/trial302/frames/epoch2.png,./for_xx/trial302/frames/epoch3.png,./for_xx/trial302/frames/epoch4.png,./for_xx/trial302/frames/epoch5.png,./for_xx/trial302/frames/epoch6.png,./for_xx/nullframe.png
