new_trial.started,new_trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,continue_from_intro.keys,continue_from_intro.rt,continue_from_intro.duration,frame0_2.started,frame0_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,ending.started,ending.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instruction,action,frame0,frame1,frame2,frame3,frame4,frame5,frame6,frame7
0.0004,1.6388,space,1.6181,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,1.6497,6.123,space,4.4408,,6.1234,55.7217,space,49.5599,,55.7219,56.1373,y,0.395,,0,0,0,21,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, if category of object 5 not equal tables , then category of object 1 equal boats or category of object 3 not equal category of object 2 , else category of object 4 equal category of object 6 ?",true,./for_xx/trial105/frames/epoch0.png,./for_xx/trial105/frames/epoch1.png,./for_xx/trial105/frames/epoch2.png,./for_xx/trial105/frames/epoch3.png,./for_xx/trial105/frames/epoch4.png,./for_xx/trial105/frames/epoch5.png,./for_xx/trial105/frames/epoch6.png,./for_xx/trial105/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,56.1516,57.3058,space,1.1328,,57.3059,79.7558,space,22.422,,79.7558,80.0366,n,0.2682,,0,1,1,2,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, if location of object 3 not equal top right or location of object 2 equal top left , then location of object 1 equal top left , else location of object 4 not equal location of object 5 ?",false,./for_xx/trial0/frames/epoch0.png,./for_xx/trial0/frames/epoch1.png,./for_xx/trial0/frames/epoch2.png,./for_xx/trial0/frames/epoch3.png,./for_xx/trial0/frames/epoch4.png,./for_xx/trial0/frames/epoch5.png,./for_xx/nullframe.png,./for_xx/nullframe.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,80.0506,80.3224,space,0.2522,,80.3224,121.6879,space,41.3419,,121.688,121.9202,n,0.2266,,0,2,2,33,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 2 equal object of object 8 , then object of object 5 equal object of object 6 and object of object 3 equal object of object 4 , else object of object 1 equal object of object 7 ?",false,./for_xx/trial208/frames/epoch0.png,./for_xx/trial208/frames/epoch1.png,./for_xx/trial208/frames/epoch2.png,./for_xx/trial208/frames/epoch3.png,./for_xx/trial208/frames/epoch4.png,./for_xx/trial208/frames/epoch5.png,./for_xx/trial208/frames/epoch6.png,./for_xx/trial208/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,121.9347,122.0712,space,0.126,,122.0712,184.0558,space,61.9508,,184.0559,184.3216,y,0.2469,,0,3,3,1,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 5 equal object of object 6 , then object of object 7 equal object of object 4 or object of object 8 not equal object of object 3 , else object of object 1 not equal object of object 2 ?",true,./for_xx/trial204/frames/epoch0.png,./for_xx/trial204/frames/epoch1.png,./for_xx/trial204/frames/epoch2.png,./for_xx/trial204/frames/epoch3.png,./for_xx/trial204/frames/epoch4.png,./for_xx/trial204/frames/epoch5.png,./for_xx/trial204/frames/epoch6.png,./for_xx/trial204/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,184.3371,184.5048,space,0.1541,,184.5049,199.9699,space,15.4337,,199.97,200.3188,y,0.3433,,0,4,4,23,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, if object of object 3 equal object of object 4 , then location of object 1 equal bottom left or location of object 2 equal location of object 5 , else category of object 6 not equal couches ?",true,./for_xx/trial306/frames/epoch0.png,./for_xx/trial306/frames/epoch1.png,./for_xx/trial306/frames/epoch2.png,./for_xx/trial306/frames/epoch3.png,./for_xx/trial306/frames/epoch4.png,./for_xx/trial306/frames/epoch5.png,./for_xx/trial306/frames/epoch6.png,./for_xx/trial306/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,200.3325,200.4356,space,0.085,,200.4356,227.6216,space,27.1548,,227.6217,228.1849,y,0.5487,,0,5,5,13,1,"observe object 1, observe object 2, observe object 3, delay, observe object 4, delay, observe object 5, observe object 6, if category of object 6 equal benches and location of object 3 not equal top left , then location of object 2 not equal location of object 1 , else category of object 4 not equal category of object 5 ?",true,./for_xx/trial314/frames/epoch0.png,./for_xx/trial314/frames/epoch1.png,./for_xx/trial314/frames/epoch2.png,./for_xx/trial314/frames/epoch3.png,./for_xx/trial314/frames/epoch4.png,./for_xx/trial314/frames/epoch5.png,./for_xx/trial314/frames/epoch6.png,./for_xx/trial314/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,228.2005,228.2686,space,0.057,,228.2687,866.6276,space,638.3319,,866.6277,866.8588,n,0.2216,,0,6,6,7,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 3 equal object of object 2 and object of object 4 not equal object of object 6 , then object of object 7 not equal object of object 8 , else object of object 5 not equal object of object 1 ?",false,./for_xx/trial205/frames/epoch0.png,./for_xx/trial205/frames/epoch1.png,./for_xx/trial205/frames/epoch2.png,./for_xx/trial205/frames/epoch3.png,./for_xx/trial205/frames/epoch4.png,./for_xx/trial205/frames/epoch5.png,./for_xx/trial205/frames/epoch6.png,./for_xx/trial205/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,866.8673,866.9945,space,0.1083,,866.9946,881.5769,space,14.5394,,881.577,882.0262,y,0.4428,,0,7,7,32,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 5 not equal object of object 1 , then object of object 4 equal object of object 6 or object of object 3 equal object of object 8 , else object of object 2 not equal object of object 7 ?",true,./for_xx/trial201/frames/epoch0.png,./for_xx/trial201/frames/epoch1.png,./for_xx/trial201/frames/epoch2.png,./for_xx/trial201/frames/epoch3.png,./for_xx/trial201/frames/epoch4.png,./for_xx/trial201/frames/epoch5.png,./for_xx/trial201/frames/epoch6.png,./for_xx/trial201/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,882.0411,882.2435,space,0.1857,,882.2435,914.8608,space,32.5827,,914.8609,915.2775,n,0.3985,,0,8,8,31,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if location of object 1 equal location of object 5 or location of object 3 equal bottom right , then location of object 7 not equal location of object 6 , else location of object 2 not equal location of object 4 ?",false,./for_xx/trial5/frames/epoch0.png,./for_xx/trial5/frames/epoch1.png,./for_xx/trial5/frames/epoch2.png,./for_xx/trial5/frames/epoch3.png,./for_xx/trial5/frames/epoch4.png,./for_xx/trial5/frames/epoch5.png,./for_xx/trial5/frames/epoch6.png,./for_xx/nullframe.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,915.2933,915.6438,space,0.328,,915.6438,952.4928,space,36.8186,,952.4929,953.1423,n,0.64,,0,9,9,10,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 3 equal object of object 5 , then location of object 2 not equal location of object 1 and category of object 6 not equal category of object 4 , else location of object 8 not equal location of object 7 ?",false,./for_xx/trial315/frames/epoch0.png,./for_xx/trial315/frames/epoch1.png,./for_xx/trial315/frames/epoch2.png,./for_xx/trial315/frames/epoch3.png,./for_xx/trial315/frames/epoch4.png,./for_xx/trial315/frames/epoch5.png,./for_xx/trial315/frames/epoch6.png,./for_xx/trial315/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,953.1576,953.5766,space,0.3981,,953.5767,971.8263,space,18.2065,,971.8264,972.158,y,0.3156,,0,10,10,46,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, if category of object 3 not equal lighting or category of object 7 not equal category of object 6 , then category of object 1 equal category of object 2 , else category of object 4 equal category of object 5 ?",true,./for_xx/trial101/frames/epoch0.png,./for_xx/trial101/frames/epoch1.png,./for_xx/trial101/frames/epoch2.png,./for_xx/trial101/frames/epoch3.png,./for_xx/trial101/frames/epoch4.png,./for_xx/trial101/frames/epoch5.png,./for_xx/trial101/frames/epoch6.png,./for_xx/trial101/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,972.1737,972.3266,space,0.1312,,972.3267,1011.4751,space,39.1098,,1011.4751,1011.8248,y,0.3432,,0,11,11,11,1,"observe object 1, observe object 2, observe object 3, delay, observe object 4, observe object 5, observe object 6, observe object 7, if object of object 7 not equal object of object 3 and location of object 6 not equal location of object 4 , then category of object 1 not equal category of object 2 , else category of object 5 equal benches ?",true,./for_xx/trial312/frames/epoch0.png,./for_xx/trial312/frames/epoch1.png,./for_xx/trial312/frames/epoch2.png,./for_xx/trial312/frames/epoch3.png,./for_xx/trial312/frames/epoch4.png,./for_xx/trial312/frames/epoch5.png,./for_xx/trial312/frames/epoch6.png,./for_xx/trial312/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,1011.838,1011.9422,space,0.091,,1011.9423,1057.1765,space,45.2034,,1057.1765,1057.4073,n,0.2233,,0,12,12,37,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, delay, observe object 6, observe object 7, if location of object 5 not equal location of object 3 , then location of object 1 not equal top left or object of object 4 not equal object of object 2 , else location of object 6 equal location of object 7 ?",false,./for_xx/trial317/frames/epoch0.png,./for_xx/trial317/frames/epoch1.png,./for_xx/trial317/frames/epoch2.png,./for_xx/trial317/frames/epoch3.png,./for_xx/trial317/frames/epoch4.png,./for_xx/trial317/frames/epoch5.png,./for_xx/trial317/frames/epoch6.png,./for_xx/trial317/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,1057.4226,1057.5237,space,0.0914,,1057.5238,1153.5064,space,95.9495,,1153.5065,1153.7236,y,0.1985,,0,13,13,30,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, delay, observe object 6, if location of object 3 equal location of object 4 , then location of object 1 not equal bottom right and location of object 2 equal location of object 5 , else location of object 6 not equal top left ?",true,./for_xx/trial2/frames/epoch0.png,./for_xx/trial2/frames/epoch1.png,./for_xx/trial2/frames/epoch2.png,./for_xx/trial2/frames/epoch3.png,./for_xx/trial2/frames/epoch4.png,./for_xx/trial2/frames/epoch5.png,./for_xx/trial2/frames/epoch6.png,./for_xx/nullframe.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,1153.739,1153.823,space,0.0629,,1153.823,1178.0405,space,24.1937,,1178.0406,1178.3233,n,0.2732,,0,14,14,27,1,"observe object 1, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, observe object 7, observe object 8, if object of object 8 not equal object of object 1 , then object of object 6 not equal object of object 2 , else object of object 3 equal object of object 5 and object of object 4 not equal object of object 7 ?",false,./for_xx/trial207/frames/epoch0.png,./for_xx/trial207/frames/epoch1.png,./for_xx/trial207/frames/epoch2.png,./for_xx/trial207/frames/epoch3.png,./for_xx/trial207/frames/epoch4.png,./for_xx/trial207/frames/epoch5.png,./for_xx/trial207/frames/epoch6.png,./for_xx/trial207/frames/epoch7.png
,,,,,mark,001,2024-02-15_01h18.12.629,iwisdm_med_pcy,2023.2.3,MacIntel,59.88023952,1178.3387,1178.7395,space,0.3824,,1178.7396,2181.5918,space,1002.827,,2181.5926,2181.8909,y,0.2847,,0,15,15,25,1,"observe object 1, delay, observe object 2, observe object 3, observe object 4, observe object 5, observe object 6, if location of object 1 equal location of object 4 , then location of object 5 not equal bottom left , else location of object 6 equal location of object 3 or location of object 2 equal top left ?",true,./for_xx/trial4/frames/epoch0.png,./for_xx/trial4/frames/epoch1.png,./for_xx/trial4/frames/epoch2.png,./for_xx/trial4/frames/epoch3.png,./for_xx/trial4/frames/epoch4.png,./for_xx/trial4/frames/epoch5.png,./for_xx/trial4/frames/epoch6.png,./for_xx/nullframe.png
